Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,18.89881,-0.3014221,6.036143,7.9203,-0.4480591,-3.250916,15.48923,-1.438263,-3.574738,27.97619,0.2146314,1.509607,32.62916,-0.9614868,-2.049194,33.8682,-1.150452,-1.499481,0,0.05882353,0.2588235
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,17.48165,-0.4205933,6.160762,6.027463,-0.3399658,-3.237793,13.90857,-1.336548,-3.54895,30.62524,0.1691035,1.339122,35.25626,-1.06427,-2.108368,37.0942,-1.26297,-1.563141,0,0.05882353,0.3137255
-50,130,35,34.29992,-1.165344,-5.601166,19.27701,-1.004547,-3.728516,38.64256,1.12215,4.396375,35.2809,-2.281036,-3.945374,38.07997,-3.18576,-4.377899,61.81177,-1.301392,-0.9468384,69.76093,-4.422089,-4.857819,77.53161,-6.088074,-5.91275,0.5921569,0.372549,0.7411765
-40.05603,113.6017,40.02555,42.61977,-2.270935,-6.290619,26.95231,-1.564056,-3.948578,56.60149,1.994824,2.834268,61.01288,-5.828094,-6.655792,59.32457,-6.306763,-6.763794,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.8039216,0.6,1
-28.24872,103.5167,43.10025,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,69.60818,2.05458,1.231729,79.26797,-17.26709,-17.55579,74.80459,-13.28693,-13.25238,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.7960784,1
-18.62476,94.70107,42.84097,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,78.09605,1.049971,-0.8426819,86.40397,-116.4711,-116.4261,84.30137,-37.58359,-37.23792,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9254902,1
-12.237,88.99501,41.83005,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,79.06168,0.7764637,-1.238068,85.64675,-132.3528,-132.2704,85.17915,-46.02109,-45.64026,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9411765,1
-13.58112,90.19965,42.09631,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,77.12314,1.273364,-0.4966431,86.76971,-94.60242,-94.59512,83.32679,-31.44592,-31.13568,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9058824,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,76.14317,1.456645,-0.1898499,86.59826,-71.16278,-71.19363,82.28805,-26.87473,-26.60025,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.8980392,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,77.36706,1.221615,-0.5791321,86.72536,-100.4946,-100.4778,83.57746,-32.80942,-32.4903,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9137255,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,78.33814,0.9867523,-0.9364624,86.24365,-121.0357,-120.9813,84.53162,-39.44284,-39.08835,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9294118,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,77.36706,1.221615,-0.5791321,86.72536,-100.4946,-100.4778,83.57746,-32.80942,-32.4903,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9137255,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,76.38885,1.414139,-0.2633057,86.6924,-76.75806,-76.77933,82.55257,-27.90112,-27.61768,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.8980392,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,75.89709,1.49712,-0.1183777,86.47353,-65.90247,-65.9429,82.02087,-25.91461,-25.64911,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.8980392,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,81.91354,-0.5119934,-2.88739,82.44841,-154.8893,-154.697,86.5544,-91.71692,-91.23239,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,0.9960784,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-11.2023,88.06384,41.60549,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-28.68762,99.38708,41.119,42.8981,-2.312805,-6.319031,27.21609,-1.584534,-3.957916,49.4045,1.708106,3.496722,50.68605,-3.939148,-5.086182,50.75817,-4.70874,-5.450409,32.27374,0.1362251,1.233287,36.91466,-1.133484,-2.149872,39.12124,-1.338226,-1.608795,0.7254902,0.4470588,0.2941177
-33.73499,87.20505,40.79074,21.23261,0.1968399,-4.962372,7.775842,-0.2532349,-3.552032,16.9159,-0.4688416,6.210937,5.274972,-0.2972107,-3.233612,13.2792,-1.296448,-3.53952,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.2666667,0.003921569,0
