Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-45.21872,162.1768,-32.74942,-43.38336,157.785,-25.00043,-50.40897,161.7727,-24.41327,23.74574,-85.04678,-6.895111,45.69414,-87.01779,-4.818787,72.91087,-87.69888,-2.093048,38.33852,-77.53085,4.617748,83.00114,-37.9408,43.8716,44.12482,92.02552,172.6265,0,0.2352941,0.4627451
-47.42697,140.7656,-27.39871,-23.22635,128.2486,-14.88776,-11.40045,125.6126,-10.55557,37.16553,-86.34811,-5.951355,78.05087,-95.04272,-10.56946,58.96133,93.69046,-178.0599,58.95067,-72.80615,8.873645,50.14419,91.67278,171.7077,-27.54962,99.34557,174.6614,0.4156863,0.4039216,0.7098039
-46.04263,144.7429,-28.6926,-12.30908,128.898,-15.30316,8.320871,124.4259,-11.58334,45.87604,-87.15176,-5.418427,80.36606,103.4828,-170.8165,27.33938,91.78698,-178.1742,68.47217,-68.0784,13.23738,28.50711,95.04754,173.9085,-62.28348,105.467,170.5712,0.6392157,0.5254902,0.8509804
-45.93796,145.0146,-28.78024,-12.06824,129.0814,-15.38309,8.699547,124.5479,-11.68567,46.43133,-87.20255,-5.386444,79.02915,102.0949,-172.1305,25.31791,91.6809,-178.1561,69.24675,-67.51874,13.76224,26.70352,95.25876,174.0095,-65.1427,106.5657,169.6251,0.6431373,0.5333334,0.8588235
-47.50464,140.4221,-27.29874,-44.02557,135.4702,-19.04263,-50.16647,137.771,-17.22348,17.74676,-84.42233,-7.373901,31.42056,-85.57581,-4.637299,51.78236,-85.51657,-1.238922,29.25111,-78.72852,3.509887,65.89721,-71.33417,11.03423,73.63162,79.21809,160.9426,0,0.1294118,0.3215686
-38.82312,-163.9583,-37.90051,-37.2915,-168.1512,-30.63431,-44.01581,-163.6677,-30.05646,7.86029,-83.3067,-8.260773,8.311196,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716658,-81.08597,0.9562464,11.64044,-80.57205,2.747968,18.0558,-79.85117,4.172277,0,0,0
-44.23032,168.7341,-34.12012,-42.47232,164.3514,-26.42987,-49.42572,168.529,-25.93393,7.86029,-83.3067,-8.260773,8.3112,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,11.91077,-80.35193,1.861278,32.23616,-78.95786,4.146055,50.6871,-75.83334,7.439831,0,0,0.145098
-31.67493,169.4063,-34.71149,6.849106,147.6332,-24.26944,32.71843,135.9871,-24.75027,28.03964,-85.47525,-6.575439,56.00341,-88.29593,-5.301544,88.09299,-106.0462,-19.56897,48.94893,-75.60242,6.353426,71.78594,82.33969,163.3401,7.880559,96.18959,174.8775,0.8352941,0.2784314,0.5764706
-20.98602,178.1759,-37.02686,20.40965,151.3032,-31.34451,48.06367,128.5675,-41.04648,55.17229,-88.00482,-4.916016,57.77785,94.92464,-178.1833,-6.519257,89.93979,-177.5896,73.25201,-63.83606,17.25009,17.24372,96.28318,174.4167,-79.77017,121.3412,155.6307,1,0.6588235,0.9215686
-18.44971,-179.0199,-36.87494,22.73364,153.753,-32.44775,49.78269,129.2763,-43.89368,66.89827,-89.14539,-4.413422,29.40265,92.21629,-179.4625,-49.01407,86.11265,-175.069,77.90826,-56.49506,24.326,5.825583,97.40704,174.6921,-80.23425,-106.7643,24.66134,1,0.8392157,1
-12.96231,-172.9974,-36.11047,27.93919,159.0884,-34.53503,53.59881,130.4165,-50.37344,77.11576,-90.4126,-4.277466,5.091911,90.63927,-179.7633,-84.46942,48.97801,-139.0141,77.90826,-56.49503,24.32603,5.825583,97.40704,174.692,-80.23425,-106.7643,24.66138,1,1,1
-12.96234,-172.9974,-36.11047,27.93919,159.0884,-34.53503,53.59881,130.4165,-50.37344,77.11576,-90.4126,-4.277466,5.091915,90.63926,-179.7633,-84.46951,48.9781,-139.0142,77.90829,-56.49503,24.32602,5.825586,97.40703,174.6921,-80.23434,-106.7643,24.66137,1,1,1
-12.96234,-172.9974,-36.11047,27.93918,159.0885,-34.53503,53.59881,130.4166,-50.37341,77.11572,-90.4126,-4.277496,5.091913,90.63928,-179.7633,-84.46942,48.97801,-139.0141,77.90826,-56.49506,24.32599,5.825585,97.40703,174.6921,-80.23425,-106.7642,24.66132,1,1,1
-12.96234,-172.9974,-36.11047,27.93918,159.0884,-34.53503,53.5988,130.4166,-50.37341,77.11576,-90.4126,-4.277466,5.091912,90.63927,-179.7633,-84.46948,48.97801,-139.0141,77.90831,-56.49506,24.32601,5.825586,97.40703,174.6921,-80.23428,-106.7643,24.66134,1,1,1
