Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860282,-83.3067,-8.260773,8.311196,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716644,-81.08597,0.9562422,11.64043,-80.57208,2.747965,18.0558,-79.85117,4.172275,0,0,0,0.4431373
-35.31885,-149.3903,-38.4169,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860283,-83.3067,-8.260773,8.311192,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716624,-81.08597,0.9562473,11.64043,-80.57208,2.747964,18.0558,-79.85117,4.172271,0,0,0,0.4431373
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860288,-83.3067,-8.260773,8.311198,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.871663,-81.08597,0.9562411,11.64043,-80.57208,2.747966,18.05581,-79.85117,4.172275,0,0,0,0.4431373
-35.31885,-149.3903,-38.4169,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860279,-83.3067,-8.260773,8.311187,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716644,-81.08597,0.9562456,11.64043,-80.57208,2.74796,18.0558,-79.85117,4.172278,0,0,0,0.4431373
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860284,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716633,-81.08597,0.9562491,11.64043,-80.57208,2.747963,18.0558,-79.85117,4.172277,0,0,0,0.4431373
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860282,-83.3067,-8.260773,8.311192,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716634,-81.08597,0.9562498,11.64043,-80.57205,2.747965,18.0558,-79.85117,4.172271,0,0,0,0.4431373
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58734,7.860288,-83.3067,-8.260773,8.311197,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716666,-81.08597,0.9562446,11.64043,-80.57208,2.747964,18.0558,-79.8512,4.172273,0,0,0,0.4431373
-35.31885,-149.3903,-38.4169,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860286,-83.3067,-8.260773,8.311195,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.871659,-81.08597,0.9562443,11.64043,-80.57205,2.74797,18.0558,-79.85117,4.172276,0,0,0,0.4431373
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.86028,-83.3067,-8.260773,8.311187,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716534,-81.08597,0.9562405,11.64043,-80.57208,2.747964,18.0558,-79.85117,4.172272,0,0,0,0.4431373
-35.31885,-149.3903,-38.41693,-33.82574,-153.421,-31.4483,-40.50937,-149.054,-30.58731,7.860281,-83.3067,-8.260773,8.311192,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716636,-81.08597,0.956248,11.64043,-80.57208,2.747967,18.0558,-79.85117,4.172276,0,0,0,0.4431373
