Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-40.92029,-173.4862,-36.97272,-39.33035,-177.7678,-29.53186,-46.11591,-173.3059,-29.06052,7.86028,-83.3067,-8.260773,8.311197,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716651,-81.08597,0.9562432,11.64044,-80.57208,2.747965,18.05581,-79.85117,4.172274,0,0,0,0.6352941
-40.60004,-171.9711,-37.15012,-39.021,-176.2399,-29.73553,-45.79523,-171.7688,-29.25226,7.860286,-83.3067,-8.260773,8.311197,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716695,-81.08597,0.9562446,11.64043,-80.57208,2.747965,18.05581,-79.85117,4.172273,0,0,0,0.6235294
-40.38397,-170.9629,-37.26202,-38.81186,-175.2229,-29.86523,-45.57886,-170.747,-29.37296,7.86029,-83.3067,-8.260773,8.311197,-83.34735,-5.0466,17.5978,-83.11975,-1.5896,0.8716688,-81.08597,0.956247,11.64043,-80.57208,2.747968,18.0558,-79.85117,4.172276,0,0,0,0.6156863
-40.81403,-172.9808,-37.03311,-39.22781,-177.2582,-29.60095,-46.00955,-172.793,-29.12585,7.860285,-83.3067,-8.260773,8.311193,-83.34735,-5.04657,17.59779,-83.11975,-1.5896,0.8716663,-81.08597,0.9562556,11.64043,-80.57205,2.747976,18.0558,-79.85117,4.172284,0,0,0,0.6352941
-41.02597,-173.9919,-36.91107,-39.43225,-178.2777,-29.46158,-46.22177,-173.8194,-28.99374,7.860287,-83.3067,-8.260773,8.3112,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716687,-81.08597,0.9562463,11.64044,-80.57208,2.747967,18.05581,-79.85117,4.172276,0,0,0,0.6392157
-41.44315,-176.0178,-36.65195,-39.83365,179.6804,-29.1687,-46.63947,-175.8782,-28.71268,7.860283,-83.3067,-8.260773,8.311198,-83.34735,-5.04657,17.59779,-83.11975,-1.5896,0.8716688,-81.08597,0.9562509,11.64043,-80.57205,2.747971,18.05581,-79.85117,4.172281,0,0,0,0.654902
-42.15002,-179.5724,-36.1514,-40.5105,176.1004,-28.61215,-47.34708,-179.4978,-28.16754,7.860289,-83.3067,-8.260773,8.311203,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716713,-81.08597,0.9562479,11.64044,-80.57205,2.747968,18.05581,-79.85117,4.172279,0,0,0,0.6862745
-44.06567,169.7483,-34.31815,-42.31903,165.3685,-26.63873,-49.26154,169.5713,-26.15283,7.860285,-83.3067,-8.260773,8.311194,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716674,-81.08597,0.9562448,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172276,0,0,0,0.7647059
-45.43295,155.7519,-31.13309,-37.00589,147.9303,-21.1575,-38.63687,148.2888,-17.86105,7.860285,-83.3067,-8.260773,8.311194,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716705,-81.08597,0.9562448,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172275,0.1176471,0,0,0.8627451
-45.51984,148.0653,-29.39667,-20.03253,134.3023,-16.61124,-6.823547,131.0129,-12.29565,7.860291,-83.3067,-8.260773,8.311197,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716674,-81.08597,0.9562472,11.64043,-80.57208,2.747967,18.0558,-79.85117,4.172276,0.4509804,0,0,0.9098039
-43.21216,151.7052,-30.71762,-8.62088,134.4271,-17.45319,13.09294,128.8062,-14.1124,7.860296,-83.3067,-8.260773,8.311197,-83.34735,-5.0466,17.5978,-83.11975,-1.5896,0.8716732,-81.08597,0.9562502,11.64043,-80.57205,2.747971,18.05581,-79.85117,4.17228,0.6745098,0,0,0.8392157
-39.14319,157.9462,-32.79303,-0.4664917,137.8843,-20.11703,25.38367,129.3786,-18.42896,7.86029,-83.3067,-8.260773,8.311198,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.871666,-81.08597,0.9562483,11.64044,-80.57205,2.747968,18.05581,-79.85117,4.172276,0.8078431,0,0,0.7176471
-35.79242,162.2735,-34.15601,4.424646,140.4705,-22.35501,31.88633,129.5144,-22.30029,7.860282,-83.3067,-8.260773,8.311199,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.871664,-81.08597,0.9562458,11.64043,-80.57205,2.747966,18.05581,-79.85117,4.172275,0.8745098,0,0,0.6235294
-31.80783,166.5413,-35.5686,9.72426,142.703,-25.11642,38.46007,128.2358,-27.65613,7.860293,-83.3067,-8.260773,8.311201,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.871659,-81.08597,0.9562483,11.64044,-80.57205,2.747969,18.05581,-79.85117,4.172278,0.9568627,0,0,0.5019608
-29.94778,168.1989,-36.23401,12.14906,143.2941,-26.51837,41.35524,126.7678,-30.66208,7.860284,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716643,-81.08597,0.9562463,11.64043,-80.57208,2.747968,18.0558,-79.85117,4.172276,0.9803922,0,0,0.4705882
-28.86908,169.1929,-36.57071,13.4138,143.7434,-27.30872,42.731,126.0672,-32.3725,7.860281,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716673,-81.08597,0.9562463,11.64042,-80.57208,2.747967,18.0558,-79.85117,4.172276,0.9960784,0,0,0.4431373
-29.17554,168.9038,-36.48145,13.06801,143.5991,-27.08896,42.36841,126.2384,-31.89822,7.860283,-83.3067,-8.260773,8.311191,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716648,-81.08597,0.9562455,11.64043,-80.57208,2.747966,18.0558,-79.85117,4.172276,0.9921569,0,0,0.4509804
-30.10947,168.0786,-36.16681,11.92191,143.2866,-26.38382,41.07434,126.9776,-30.35721,7.86029,-83.3067,-8.260773,8.311196,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716626,-81.08597,0.9562426,11.64043,-80.57208,2.747962,18.0558,-79.85117,4.172271,0.9764706,0,0,0.4745098
-35.94052,162.1207,-34.09418,4.184196,140.4115,-22.24954,31.55327,129.5954,-22.09601,7.860282,-83.3067,-8.260773,8.311191,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716592,-81.08597,0.9562446,11.64043,-80.57208,2.747964,18.0558,-79.85117,4.172274,0.8470588,0,0,0.6588235
