Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-32.5726,106.7066,42.08669,47.06395,-2.989746,-6.797882,31.23736,-1.909698,-4.11676,73.41262,1.80894,0.5063846,84.13957,-33.23685,-33.37463,79.23335,-18.93716,-18.76257,80.69305,-5.643677,-5.194031,85.85674,-155.3566,-155.3083,76.5611,-174.9816,-174.591,0.9372549,0.8509804,0.9882353
-29.40662,104.411,42.88451,48.60285,-3.267181,-7.00354,32.76418,-2.040375,-4.186005,73.91288,1.758347,0.3927737,84.70913,-37.40869,-37.52679,79.80453,-20.0369,-19.84396,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.9882353,0.8588235,1
-33.06454,107.0956,41.96432,46.81936,-2.947144,-6.766754,30.99699,-1.889526,-4.106323,75.65058,1.535663,-0.04876709,86.32066,-61.02731,-61.07736,81.75107,-25.01505,-24.75854,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.9294118,0.8862745,1
-35.34055,108.9693,41.37182,45.56498,-2.734589,-6.613342,29.77329,-1.78833,-4.055145,77.61049,1.167235,-0.6641846,86.648,-106.1576,-106.1314,83.82375,-34.27942,-33.95142,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.8901961,0.9176471,1
-42.01456,115.9676,39.37261,41.34097,-2.083191,-6.165039,25.74714,-1.47171,-3.907593,75.89709,1.49712,-0.1183777,86.47353,-65.90247,-65.9429,82.02087,-25.91461,-25.64911,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.7686275,0.8901961,1
-49.29742,128.1865,35.59729,32.58903,-0.9662476,-5.491425,17.73942,-0.8993835,-3.695129,56.60149,1.994824,2.834268,61.01288,-5.828094,-6.655792,59.32457,-6.306763,-6.763794,70.9784,-2.475525,-2.136993,81.04496,-10.70682,-10.92166,88.72604,-93.70123,-93.41504,0.5529412,0.6,0.8352941
-50,130,35,15.75631,0.690076,-4.805756,3.08421,0.03809745,-3.524506,48.00237,1.640959,3.618075,48.67194,-3.667786,-4.879242,49.09579,-4.466553,-5.265076,56.24626,-0.853302,-0.4378967,63.127,-3.160767,-3.719849,70.06152,-3.833557,-3.731415,0.2156863,0.4784314,0.6313726
-45.22363,108.4951,40.55758,6.97541,1.430813,-4.659332,-4.336273,0.4951972,-3.529633,47.15869,1.599075,3.69026,47.46042,-3.514832,-4.765442,48.09684,-4.328735,-5.161713,43.92337,-0.2068787,0.4731211,49.16111,-1.788635,-2.596344,53.8456,-2.058746,-2.13562,0.0627451,0.4666667,0.4745098
-39.58865,90.72334,42.81628,8.136342,1.335242,-4.671906,-3.360992,0.4349353,-3.525574,36.92662,1.015387,4.536011,32.84467,-2.081085,-3.833374,36.07862,-2.996246,-4.263611,20.63827,0.2956427,1.989665,25.59016,-0.72052,-1.923492,25.14044,-0.8793335,-1.372437,0.08235294,0.3254902,0.1960784
-34.41074,71.33607,44.03478,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-24.54874,41.61449,39.72707,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-43.56607,117.391,38.76369,38.1894,-1.650421,-5.888092,22.81966,-1.254883,-3.81842,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.6862745,0,0
-31.42578,105.7856,42.34711,47.54684,-3.075043,-6.860565,31.7137,-1.950012,-4.137817,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.9529412,0,0
-29.57986,104.5073,42.82754,48.48761,-3.245819,-6.987518,32.64891,-2.030365,-4.180603,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.9843137,0,0
-29.40662,104.411,42.88451,48.60285,-3.267181,-7.00354,32.76418,-2.040375,-4.186005,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.9882353,0,0
-29.07431,104.1612,42.95345,48.71758,-3.288544,-7.019562,32.87908,-2.050385,-4.191437,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.9921569,0,0
-31.24228,105.741,42.43989,47.78514,-3.117706,-6.89212,31.94968,-1.970123,-4.148407,17.48165,-0.4205933,6.160762,6.027463,-0.3399658,-3.237793,13.90857,-1.336548,-3.54895,8.584356,0.2875226,2.832357,14.74512,-0.4225464,-1.797821,11.4885,-0.5098267,-1.272797,0.9607843,0.05882353,0.05490196
-38.82153,112.2748,40.40358,43.4484,-2.396759,-6.376465,27.73926,-1.625458,-3.976776,18.61508,-0.3251038,6.060977,7.540429,-0.4263,-3.248016,15.17229,-1.417755,-3.569336,10.58899,0.30133,2.685548,16.49,-0.4656372,-1.81369,13.69936,-0.5672607,-1.282074,0.827451,0.07450981,0.07843138
-50,130,35,33.62191,-1.08551,-5.556549,18.66629,-0.9625549,-3.714844,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.5764706,0,0
-46.57394,122.7976,37.36022,37.71999,-1.589203,-5.850464,22.38829,-1.223755,-3.806458,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.6745098,0,0
-32.5726,106.7066,42.08669,47.06395,-2.989746,-6.797882,31.23736,-1.909698,-4.11676,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.9333333,0,0
-35.50421,109.0936,41.32207,45.43665,-2.713409,-6.598236,29.6489,-1.778168,-4.05011,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.8862745,0,0
-24.62585,44.30064,39.39437,5.097984,1.5844,-4.643188,-5.910492,0.5928089,-3.538391,40.92525,1.258917,4.209854,38.53302,-2.567657,-4.117554,40.7518,-3.455719,-4.549347,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.03137255,0.3803922,0
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,78.33814,0.9867523,-0.9364624,86.24365,-121.0357,-120.9813,84.53162,-39.44284,-39.08835,12.26207,0.308954,2.565362,17.96372,-0.5033569,-1.828278,15.56272,-0.6161194,-1.29184,0,0.9294118,0.09803922
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,13.93676,0.3131005,2.447011,19.45506,-0.5428467,-1.844177,17.44446,-0.6660461,-1.303528,0,1,0.1176471
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,81.67854,-0.3669128,-2.712494,82.73677,-153.8062,-153.6229,86.5489,-86.99078,-86.51477,14.94207,0.3139367,2.376834,20.35819,-0.5674133,-1.854401,18.58204,-0.6965637,-1.311554,0,0.9803922,0.1254902
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,46.44727,-0.3108826,0.3004563,51.93737,-1.987579,-2.746887,57.1199,-2.287811,-2.326019,0,0,0.5058824
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0,0,1
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0,0,1
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,52.93497,-0.6412964,-0.1722412,59.27374,-2.667633,-3.296631,65.65207,-3.135681,-3.079285,0,0,0.5882353
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,35.20814,0.9051687,4.675664,30.41322,-1.892212,-3.734314,34.08076,-2.816467,-4.160248,25.64848,0.2474074,1.660309,30.3588,-0.8786926,-2.003876,31.0661,-1.058807,-1.452087,0,0.3254902,0.282353
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,79.30196,0.698758,-1.3461,85.41815,-135.4121,-135.3204,85.37763,-48.59937,-48.20978,72.30925,-2.72641,-2.38092,82.69846,-13.26584,-13.44656,87.71767,-146.4677,-146.1664,0,0.945098,0.854902
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,77.72597,-4.207214,-3.806915,88.28206,-85.91965,-85.95532,80.601,-172.608,-172.2479,0,1,0.9372549
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,79.71461,-5.086578,-4.654816,86.98079,-145.1882,-145.168,77.89545,-174.3719,-173.9912,0,1,0.9686275
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0,1,1
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0,1,1
-18.93201,19.402,33.293,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,81.44311,-0.2304993,-2.546234,83.02312,-152.631,-152.4568,86.51991,-82.30179,-81.83435,78.97382,-4.725494,-4.306183,87.71262,-131.2319,-131.2326,78.90455,-173.8143,-173.4412,0,0.9803922,0.9568627
-47.22888,115.1155,39.2231,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,67.02261,2.123192,1.627335,75.73606,-12.78482,-13.17755,71.74782,-10.99921,-11.06061,72.04434,-2.674011,-2.330078,82.36987,-12.66739,-12.85492,88.00826,-140.6455,-140.3472,0,0.7529412,0.8509804
-44.36536,119.0691,38.44048,39.11383,-1.773285,-5.964844,23.67255,-1.317047,-3.842957,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.7098039,0,0
-45.19534,120.4946,38.06465,38.96109,-1.752747,-5.951935,23.53131,-1.306702,-3.838806,16.06853,-0.5419006,6.286564,4.151352,-0.233551,-3.228363,12.33834,-1.236877,-3.526306,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.7058824,0.04313726,0.003921569
-50,130,35,33.62191,-1.08551,-5.556549,18.66629,-0.9625549,-3.714844,14.37868,-0.6903076,6.439189,1.923059,-0.1078186,-3.22171,10.46849,-1.119751,-3.503143,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0.5764706,0.01568628,0
-36.46085,109.9721,41.07246,44.91806,-2.628693,-6.538147,29.14772,-1.737549,-4.030182,23.17046,0.04321161,5.66869,13.6916,-0.7849426,-3.314148,20.28905,-1.757599,-3.672943,13.26673,0.3118564,2.494139,18.85643,-0.526825,-1.837646,16.68961,-0.6459351,-1.298615,0.8745098,0.1372549,0.1098039
-44.20502,118.9687,38.51271,39.71946,-1.85556,-6.01709,24.23383,-1.358368,-3.859741,18.89881,-0.3014221,6.036143,7.9203,-0.4480591,-3.250916,15.48923,-1.438263,-3.574738,7.917072,0.2817759,2.881953,14.16928,-0.4086914,-1.792877,10.75781,-0.4909668,-1.270264,0.7254902,0.07843138,0.04705882
-44.77426,119.8263,38.26047,39.26603,-1.793823,-5.977844,23.81342,-1.327362,-3.847107,24.31367,0.1318832,5.572147,15.25213,-0.8786316,-3.337555,21.58239,-1.846863,-3.704834,11.9273,0.3077089,2.589249,17.66756,-0.495697,-1.825256,15.18856,-0.6062622,-1.289734,0.7137255,0.1529412,0.09411765
-19.09091,95.11792,42.88941,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,26.89033,0.3264037,5.356819,18.79251,-1.096588,-3.401398,24.51063,-2.055176,-3.786407,20.97297,0.2933592,1.967389,25.90378,-0.7303467,-1.928223,25.53173,-0.890686,-1.376923,1,0.1882353,0.2
-12.53439,89.26196,41.89143,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,28.89737,0.4728869,5.190913,21.5712,-1.274139,-3.462646,26.80386,-2.225159,-3.860046,22.31097,0.2828924,1.878771,27.16451,-0.7705994,-1.947998,27.10256,-0.9369202,-1.395996,1,0.2156863,0.2156863
-16.61829,92.91039,42.5929,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,31.76653,0.6747431,4.955799,25.57275,-1.542389,-3.569977,30.10018,-2.482117,-3.982513,23.64742,0.2702957,1.790888,28.43507,-0.8125,-1.969177,28.68197,-0.9845276,-1.416931,1,0.2588235,0.2313726
-26.18158,101.5691,43.18208,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,60.13051,2.088642,2.471831,66.04779,-7.275513,-7.952698,63.53676,-7.428009,-7.749207,40.73207,-0.09188843,0.6857716,45.71365,-1.572601,-2.439819,49.74598,-1.816986,-1.944397,1,0.6509804,0.4352941
-26.02271,101.4211,43.18507,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,73.66296,1.784285,0.4501931,84.42842,-35.21899,-35.34695,79.5197,-19.47269,-19.28891,68.2702,-2.045135,-1.713257,77.67794,-7.634705,-7.917297,86.15957,-19.63763,-19.383,1,0.854902,0.8
-28.56683,103.8204,43.08039,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,81.44311,-0.2304993,-2.546234,83.02312,-152.631,-152.4568,86.51991,-82.30179,-81.83435,79.71461,-5.086578,-4.654816,86.98079,-145.1882,-145.168,77.89545,-174.3719,-173.9912,0.9960784,0.9803922,0.972549
-31.3215,105.3778,42.20951,47.06395,-2.989746,-6.797882,31.23736,-1.909698,-4.11676,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.9411765,1,1
-25.38751,100.8313,43.19245,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-27.13538,102.4626,43.15433,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
-27.2944,102.6124,43.14805,48.9455,-3.331268,-7.051727,33.1078,-2.070404,-4.202332,82.6153,-1.007141,-3.47168,81.57439,-157.6784,-157.4591,86.43372,-105.4992,-104.9892,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,1,1,1
